Package,LibPath,Version,Priority,Built
packrat,C:/Users/LeporeM/Documents/R/R-3.5.2/library,0.5.0,NA,3.5.1
parallel,C:/Users/LeporeM/Documents/R/R-3.5.2/library,3.5.2,base,3.5.2
parsedate,C:/Users/LeporeM/Documents/R/R-3.5.2/library,1.1.3,NA,3.5.0
pasoh,C:/Users/LeporeM/Documents/R/R-3.5.2/library,0.0.0.9000,NA,3.5.0
permute,C:/Users/LeporeM/Documents/R/R-3.5.2/library,0.9-4,NA,3.5.0
phangorn,C:/Users/LeporeM/Documents/R/R-3.5.2/library,2.4.0,NA,3.5.1
pillar,C:/Users/LeporeM/Documents/R/R-3.5.2/library,1.3.1,NA,3.5.1
pingr,C:/Users/LeporeM/Documents/R/R-3.5.2/library,1.1.2,NA,3.5.2
pipecleaner,C:/Users/LeporeM/Documents/R/R-3.5.2/library,0.0.2.9000,NA,3.5.1
pkgbuild,C:/Users/LeporeM/Documents/R/R-3.5.2/library,1.0.2,NA,3.5.1
pkgconfig,C:/Users/LeporeM/Documents/R/R-3.5.2/library,2.0.2,NA,3.5.1
pkgdoc,C:/Users/LeporeM/Documents/R/R-3.5.2/library,0.0.0.9000,NA,3.5.2
pkgdown,C:/Users/LeporeM/Documents/R/R-3.5.2/library,1.3.0,NA,3.5.1
pkginspector,C:/Users/LeporeM/Documents/R/R-3.5.2/library,0.0.1.9000,NA,3.5.1
pkgload,C:/Users/LeporeM/Documents/R/R-3.5.2/library,1.0.2,NA,3.5.1
pkgreviewr,C:/Users/LeporeM/Documents/R/R-3.5.2/library,0.0.3,NA,3.5.0
pkgsearch,C:/Users/LeporeM/Documents/R/R-3.5.2/library,2.0.1,NA,3.5.1
PKI,C:/Users/LeporeM/Documents/R/R-3.5.2/library,0.1-5.1,NA,3.5.0
plogr,C:/Users/LeporeM/Documents/R/R-3.5.2/library,0.2.0,NA,3.5.0
plotly,C:/Users/LeporeM/Documents/R/R-3.5.2/library,4.8.0,NA,3.5.1
plotrix,C:/Users/LeporeM/Documents/R/R-3.5.2/library,3.7-4,NA,3.5.1
plyr,C:/Users/LeporeM/Documents/R/R-3.5.2/library,1.8.4,NA,3.5.0
png,C:/Users/LeporeM/Documents/R/R-3.5.2/library,0.1-7,NA,3.5.0
praise,C:/Users/LeporeM/Documents/R/R-3.5.2/library,1.0.0,NA,3.5.0
prefixer,C:/Users/LeporeM/Documents/R/R-3.5.2/library,0.1.1,NA,3.5.1
prettyunits,C:/Users/LeporeM/Documents/R/R-3.5.2/library,1.0.2,NA,3.5.0
processx,C:/Users/LeporeM/Documents/R/R-3.5.2/library,3.2.1,NA,3.5.1
profmem,C:/Users/LeporeM/Documents/R/R-3.5.2/library,0.5.0,NA,3.5.1
profvis,C:/Users/LeporeM/Documents/R/R-3.5.2/library,0.3.5,NA,3.5.1
progress,C:/Users/LeporeM/Documents/R/R-3.5.2/library,1.2.0,NA,3.5.1
promises,C:/Users/LeporeM/Documents/R/R-3.5.2/library,1.0.1,NA,3.5.0
pryr,C:/Users/LeporeM/Documents/R/R-3.5.2/library,0.1.4,NA,3.5.0
ps,C:/Users/LeporeM/Documents/R/R-3.5.2/library,1.3.0,NA,3.5.2
psych,C:/Users/LeporeM/Documents/R/R-3.5.2/library,1.8.10,NA,3.5.1
purrr,C:/Users/LeporeM/Documents/R/R-3.5.2/library,0.2.5,NA,3.5.1
quadprog,C:/Users/LeporeM/Documents/R/R-3.5.2/library,1.5-5,NA,3.5.0
quantreg,C:/Users/LeporeM/Documents/R/R-3.5.2/library,5.38,NA,3.5.1
R.methodsS3,C:/Users/LeporeM/Documents/R/R-3.5.2/library,1.7.1,NA,3.5.0
R.oo,C:/Users/LeporeM/Documents/R/R-3.5.2/library,1.22.0,NA,3.5.0
R.utils,C:/Users/LeporeM/Documents/R/R-3.5.2/library,2.7.0,NA,3.5.1
R6,C:/Users/LeporeM/Documents/R/R-3.5.2/library,2.3.0,NA,3.5.1
radix,C:/Users/LeporeM/Documents/R/R-3.5.2/library,0.6,NA,3.5.1
RandomFields,C:/Users/LeporeM/Documents/R/R-3.5.2/library,3.1.50,NA,3.5.0
RandomFieldsUtils,C:/Users/LeporeM/Documents/R/R-3.5.2/library,0.3.25,NA,3.5.0
RApiDatetime,C:/Users/LeporeM/Documents/R/R-3.5.2/library,0.0.4,NA,3.5.2
rappdirs,C:/Users/LeporeM/Documents/R/R-3.5.2/library,0.3.1,NA,3.5.0
raster,C:/Users/LeporeM/Documents/R/R-3.5.2/library,2.8-4,NA,3.5.1
rcmdcheck,C:/Users/LeporeM/Documents/R/R-3.5.2/library,1.3.2,NA,3.5.1
RColorBrewer,C:/Users/LeporeM/Documents/R/R-3.5.2/library,1.1-2,NA,3.5.0
Rcpp,C:/Users/LeporeM/Documents/R/R-3.5.2/library,1.0.0,NA,3.5.1
RcppEigen,C:/Users/LeporeM/Documents/R/R-3.5.2/library,0.3.3.5.0,NA,3.5.1
RCurl,C:/Users/LeporeM/Documents/R/R-3.5.2/library,1.95-4.11,NA,3.5.1
readODS,C:/Users/LeporeM/Documents/R/R-3.5.2/library,1.6.7,NA,3.5.1
readr,C:/Users/LeporeM/Documents/R/R-3.5.2/library,1.3.1,NA,3.5.2
readwith,C:/Users/LeporeM/Documents/R/R-3.5.2/library,0.0.0.9000,NA,3.5.2
readxl,C:/Users/LeporeM/Documents/R/R-3.5.2/library,1.2.0,NA,3.5.1
regexplain,C:/Users/LeporeM/Documents/R/R-3.5.2/library,0.2.2,NA,3.5.1
rematch,C:/Users/LeporeM/Documents/R/R-3.5.2/library,1.0.1,NA,3.5.0
rematch2,C:/Users/LeporeM/Documents/R/R-3.5.2/library,2.0.1,NA,3.5.0
remotes,C:/Users/LeporeM/Documents/R/R-3.5.2/library,2.0.2,NA,3.5.2
reprex,C:/Users/LeporeM/Documents/R/R-3.5.2/library,0.2.1,NA,3.5.1
repurrrsive,C:/Users/LeporeM/Documents/R/R-3.5.2/library,0.1.0,NA,3.5.1
reshape2,C:/Users/LeporeM/Documents/R/R-3.5.2/library,1.4.3,NA,3.5.0
reticulate,C:/Users/LeporeM/Documents/R/R-3.5.2/library,1.10,NA,3.5.1
revdepcheck,C:/Users/LeporeM/Documents/R/R-3.5.2/library,1.0.0.9000,NA,3.5.1
rex,C:/Users/LeporeM/Documents/R/R-3.5.2/library,1.1.2,NA,3.5.0
